"No.","Time","Source","Destination","Protocol","Length","Info"
"8871","4.641602","192.168.1.209","8.8.8.8","TCP","74","49557  >  53 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=302519442 TSecr=0 WS=128"
"8901","4.668587","192.168.1.209","8.8.8.8","TCP","66","49557  >  53 [ACK] Seq=1 Ack=1 Win=42368 Len=0 TSval=302519445 TSecr=2661651280"
"8902","4.668856","192.168.1.209","8.8.8.8","TCP","66","49557  >  53 [FIN, ACK] Seq=1 Ack=1 Win=42368 Len=0 TSval=302519445 TSecr=2661651280"
"8935","4.703464","192.168.1.209","8.8.8.8","TCP","66","49557  >  53 [ACK] Seq=2 Ack=2 Win=42368 Len=0 TSval=302519448 TSecr=2661651315"
"11518","5.822983","192.168.1.99","54.175.224.52","TCP","66","38556  >  2350 [ACK] Seq=1 Ack=1 Win=390 Len=0 TSval=485409936 TSecr=1431184303"
"19953","9.482432","192.168.1.58","52.42.108.30","TCP","66","38267  >  443 [ACK] Seq=1 Ack=32 Win=415 Len=0 TSval=175189417 TSecr=794105723"
"20223","9.574208","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=1 Ack=1 Win=502 Len=1448 TSval=175189427 TSecr=1611698530 [TCP segment of a reassembled PDU]"
"21682","9.984046","192.168.1.58","52.32.33.253","TCP","1514","[TCP Retransmission] 57010  >  80 [ACK] Seq=4294962953 Ack=1 Win=502 Len=1448 TSval=175189468 TSecr=1611713083"
"22016","10.087881","192.168.1.58","52.32.33.253","TCP","1514","[TCP Retransmission] 57010  >  80 [ACK] Seq=4294964401 Ack=1 Win=502 Len=1448 TSval=175189478 TSecr=1611713186"
"22017","10.088158","192.168.1.58","52.32.33.253","TCP","1514","[TCP Retransmission] 57010  >  80 [ACK] Seq=4294965849 Ack=1 Win=502 Len=1448 TSval=175189478 TSecr=1611713186"
"22507","10.190990","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=1449 Ack=1 Win=502 Len=1448 TSval=175189488 TSecr=1611713211 [TCP segment of a reassembled PDU]"
